number,value,state,params_elastic_alpha,params_elastic_l1_ratio,params_et_bootstrap,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_family,params_gb_learning_rate,params_gb_max_depth,params_gb_max_features,params_gb_min_samples_leaf,params_gb_min_samples_split,params_gb_n_estimators,params_gb_subsample,params_hgb_l2_regularization,params_hgb_learning_rate,params_hgb_max_iter,params_hgb_max_leaf_nodes,params_hgb_min_samples_leaf,params_lgb_colsample_bytree,params_lgb_learning_rate,params_lgb_max_depth,params_lgb_min_child_samples,params_lgb_n_estimators,params_lgb_num_leaves,params_lgb_reg_alpha,params_lgb_reg_lambda,params_lgb_subsample,params_rf_bootstrap,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_ridge_alpha,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_cv_corr,user_attrs_cv_r2,user_attrs_cv_rmse,user_attrs_fold_maes,datetime_start,datetime_complete
438,18.356152342979943,COMPLETE,0.12277815187136881,0.741291035021961,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44427983280846967,0.18654580826152145,22.684063485663327,"[17.305332393977274, 18.971039065191942, 22.256220145921013, 16.18790117942704, 16.895874266530797]",2026-06-19 03:50:28.660200,2026-06-19 03:50:28.713409
162,18.356469740252283,COMPLETE,0.11744725767982317,0.7287175536945348,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4442140780397283,0.18624827552029188,22.688211620010154,"[17.306764670714465, 18.976409474698155, 22.23952017068275, 16.19217554234393, 16.900161828004837]",2026-06-19 03:49:39.343610,2026-06-19 03:49:39.394119
839,18.357016260586413,COMPLETE,0.12739823059963556,0.7822592445704888,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44463741968011,0.18598041609625815,22.691945407042617,"[17.223278340755098, 19.043897588294097, 22.210887819406512, 16.222311490282806, 17.028661218587306]",2026-06-19 03:51:58.781020,2026-06-19 03:51:58.845883
443,18.357074947106405,COMPLETE,0.08152200179389525,0.5853107010027303,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4442966511756374,0.18494073433648217,22.70643208146507,"[17.320002705824525, 18.976132675436283, 22.167174635304463, 16.24282188277386, 16.896437784216253]",2026-06-19 03:50:30.800838,2026-06-19 03:50:30.855566
612,18.357078524686276,COMPLETE,0.08302744958209164,0.591165298233615,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4442732972742343,0.18504606758471331,22.704964814220745,"[17.324758763890365, 18.97257661576769, 22.16973746898467, 16.238737636797758, 16.89173967333015]",2026-06-19 03:51:13.241694,2026-06-19 03:51:13.299811
482,18.357087407210454,COMPLETE,0.11655546642072584,0.7181625148697056,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4441076689220474,0.18635530896099528,22.686719471276348,"[17.325146471326576, 18.959152592465472, 22.25089996555727, 16.185011010490598, 16.881943468165524]",2026-06-19 03:50:36.543871,2026-06-19 03:50:36.598796
193,18.35719337612534,COMPLETE,0.08404048837935509,0.6068555016888559,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44436034889518894,0.1849025969632243,22.706963302679622,"[17.311447225590218, 18.989835780285063, 22.156230117252527, 16.244005739011925, 16.905488102407382]",2026-06-19 03:49:47.890636,2026-06-19 03:49:47.944953
236,18.357276869074905,COMPLETE,0.0814142899624779,0.5811440293642036,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4442633865099372,0.1849952108629056,22.705673248169738,"[17.324662684584496, 18.970485884309806, 22.172451442559794, 16.24067815996218, 16.892943504109805]",2026-06-19 03:49:51.803780,2026-06-19 03:49:51.852706
551,18.357346186535285,COMPLETE,0.07870167818932815,0.5818522757901545,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4444000324466952,0.18458107452841488,22.711441343142486,"[17.300213984157534, 18.995438299493895, 22.150698907117725, 16.25570931434627, 16.924456643513277]",2026-06-19 03:50:54.037050,2026-06-19 03:50:54.141311
620,18.35736444996679,COMPLETE,0.08385208797115878,0.5890196233517493,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44420405168474475,0.18518207563379363,22.7030701139815,"[17.33447590437927, 18.962152810980513, 22.17908066566842, 16.233005467487295, 16.88367555221972]",2026-06-19 03:51:14.665855,2026-06-19 03:51:14.722381
